"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","location","us_states"
"CDC reports 17 more pediatric deaths from #flu, bringing total to 114 so far this season. Full FluView: https://t.co/BVYeMExym2",FALSE,0,"gerardgallagher","3/2/2018 16:23",FALSE,9.7e+17,9.7e+17,47141850,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","gerardgallagher",0,FALSE,FALSE,-75.387693,39.9167783,"MEDIA, Pa.","Pennsylvania"
"The number of pediatric #flu deaths for 2017-18, which is now at 114, has now surpassed 2016-17, when there were 11… https://t.co/zod7TUZfxV",FALSE,0,NA,"3/2/2018 16:21",TRUE,NA,9.7e+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","DonnaYoungDC",0,FALSE,FALSE,-120.7401385,47.7510741,"Washington","Washington"
"#GRIPE #flu #medicine #science They approve in Japan a medicine that cures the flu in a single day — Steemit https://t.co/tmk1Wuo77h",FALSE,0,NA,"3/2/2018 16:21",FALSE,NA,9.7e+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ferojas01",0,FALSE,FALSE,-0.3762881,39.4699075,"Valencia ",NA
"RT @gerardgallagher: The percentage of outpatient visits attributed to #flu declined for a 3rd straight week, falling to 5% after hitting a…",FALSE,0,NA,"3/2/2018 16:19",FALSE,NA,9.7e+17,NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","InfectDisNews",9,TRUE,FALSE,-75.1969346,39.8422093,"Thorofare, NJ",NA
"RT @gerardgallagher: The percentage of outpatient visits attributed to #flu declined for a 3rd straight week, falling to 5% after hitting a…",FALSE,0,NA,"3/2/2018 16:19",FALSE,NA,9.7e+17,NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","GoHealio",9,TRUE,FALSE,-75.1969346,39.8422093,"Thorofare, NJ","New Jersey"
"The percentage of outpatient visits attributed to #flu declined for a 3rd straight week, falling to 5% after hittin… https://t.co/rrMJLKBhDh",FALSE,11,NA,"3/2/2018 16:18",TRUE,NA,9.7e+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","gerardgallagher",9,FALSE,FALSE,-75.387693,39.9167783,"MEDIA, Pa.","Pennsylvania"
"#CDC reports 17 more kids have died of the #flu, bringing total pediatric #influenza deaths to 114. Hospitalization… https://t.co/uiUnaoRUyp",FALSE,0,NA,"3/2/2018 16:17",TRUE,NA,9.7e+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","DonnaYoungDC",1,FALSE,FALSE,-120.7401385,47.7510741,"Washington","Washington"
"There’s data to suggest that adults could cut down the risk of having a heart attack by 45-48% just by getting a… https://t.co/OgKuv1B0HO",FALSE,1,NA,"3/2/2018 16:16",TRUE,NA,9.7e+17,NA,"<a href=""http://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>","famfightflu",0,FALSE,FALSE,-77.0909809,38.8816208,"Arlington, VA","Virginia"
"RT @Medscape: The #flu epidemic has put Otitis Media in the spotlight. https://t.co/9RIgnXFwnI #ClinicalTrends https://t.co/41KjXEUKVJ",FALSE,0,NA,"3/2/2018 16:10",FALSE,NA,9.7e+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","FernieMachado",36,TRUE,FALSE,-100.3161126,25.6866142,"Monterrey",NA
"RT @Philly_PR_Girl: Stuck at home with the stomach #flu? Use @drtaranayak's tips for getting some #natural relief! See all of her expert ti…",FALSE,0,NA,"3/2/2018 16:03",FALSE,NA,9.7e+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","_emilylucia_",1,TRUE,FALSE,-75.1652215,39.9525839,"Philadelphia, Pennsylvania","Pennsylvania"
"Stuck at home with the stomach #flu? Use @drtaranayak's tips for getting some #natural relief! See all of her exper… https://t.co/nmdRYri5dK",FALSE,0,NA,"3/2/2018 16:01",TRUE,NA,9.7e+17,NA,"<a href=""http://bufferapp.com"" rel=""nofollow"">Buffer</a>","Philly_PR_Girl",1,FALSE,FALSE,-75.1652215,39.9525839,"Philadelphia",NA
"RT @BioFireDX: Analyzing the past to protect our future: discussing the 1918 flu pandemic https://t.co/qTufFKiNuV #flu @ASMicrobiology",FALSE,0,NA,"3/2/2018 15:59",FALSE,NA,9.7e+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","SergylB",4,TRUE,FALSE,4.835659,45.764043,"LYON",NA
"RT @CDCgov: Flu Fact: Did you know you can get flu more than once a season? Multiple flu viruses are circulating, which is why #flu vaccina…",FALSE,0,NA,"3/2/2018 15:57",FALSE,NA,9.7e+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","FIRSTVERIFY",189,TRUE,FALSE,-95.712891,37.09024,"Nationwide","Kansas"
"Want to Protect Yourself From Getting the Flu? Get Some Sunshine - TIME #flu #fluseason #sunshine  https://t.co/EPXf6tJK66",FALSE,0,NA,"3/2/2018 15:56",FALSE,NA,9.7e+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MaryPCheney",0,FALSE,FALSE,-73.134961,40.789142,"Long Island, New York","New York"
"Bandaids don't help against the #flu. #cybersecurity is no different. Get the advice you need from our team of #IT… https://t.co/egKKQ6JQv5",FALSE,0,NA,"3/2/2018 15:55",TRUE,NA,9.7e+17,NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","LogicalFront",0,FALSE,FALSE,-111.8389726,40.5649781,"Sandy, UT","Utah"
